id,titrFr,categorieFr,ref,niveau,prix,img,description
0,Appareil génital féminin(P.V.C incassable),Anatomie humaine,AN002-1,tous,9.000.00 Dzd,/media/produit/images/AN_002-1.jpg,
1,Appareil génital masculin(P.V.C incassable),Anatomie humaine,AN002-2,tous,9.000.00 Dzd,/media/produit/images/AN_002-2_copy.jpg,
2,Tronc Humain bisexuel 85cm,Anatomie humaine,AN003-1,tous,55.000.00 Dzd,/media/produit/images/AN_003-1-2_copy.jpg,Tronc Humain bisexuel Tronc Humain - En P.V.C - Hauteur : 85 cm. - Démontable en : 33 pièces.
3,Tronc Humain PM 45cm,Anatomie humaine,AN003-3,tous,20.000.00 Dzd,/media/produit/images/AN_003-3_copy.jpg,Tronc Humain - En P.V.C - Hauteur : 85 cm. - Démontable en : 33 pièces. - En P.V.C - Hauteur : 44 cm. - Démontable en : 13 pièces.
4,Squelette humain démontable(Hauteur:45 cm),Anatomie humaine,AN004-2,tous,6.500.00 Dzd,/media/produit/images/AN_004-1_copy.jpg,Hauteur:45 cm
5,Squelette humain démontable(Hauteur:168 cm),Anatomie humaine,AN004-1,tous,47.000.00 Dzd,/media/produit/images/AN_004-1_copy_sAgady2.jpg,Squelette humain démontable En P.V.C : incassable - Hauteur : 168 cm - Démontable en 200 parties. - Vertèbres numérotées. - Avec toutes les articulations naturelles
6,Cerveau Humain en Couleur Démontable,Anatomie humaine,AN005-1,tous,8.500.00 Dzd,/media/produit/images/AN_005-1_copy.jpg,Cerveau stéréotaxique avec des espaces de coloration Différent chacun selon sa fonction
7,Cerveau Humain Entier,Anatomie humaine,AN005,tous,7.000.00 Dzd,/media/produit/images/AN_005_copy.jpg,
8,Model de la Peau Humaine,Anatomie humaine,AN006-2,tous,10.000.00 Dzd,/media/produit/images/AN_006-2_copy.jpg,
9,Crâne Humain,Anatomie humaine,AN007-1,tous,8.500.00 Dzd,/media/produit/images/AN_007-1_copy.jpg,Crâne Humain - En P.V.C : incassable - Avec Articulation de la mâchoire inférieure . - 2 Dents démentables.
10,Oreille ( Grand modèle En P.V.C incassable),Anatomie humaine,AN008-1,tous,10.000.00 Dzd,/media/produit/images/AN_008-1_copy.jpg,Démentables en 5 parties
11,Oeil Humain(Démontable en 7 parties),Anatomie humaine,AN009-1,tous,8.500.00 Dzd,/media/produit/images/AN_009-1_copy.jpg,
12,Les Poumons. le Coeur et le larynx,Anatomie humaine,AN010-1,tous,20.000.00 Dzd,/media/produit/images/AN_010-1_copy.jpg,Démontable
13,Rein Humain Avec glandes adrénales,Anatomie humaine,AN011-1,tous,7.000.00 Dzd,/media/produit/images/AN_011-1_copy.jpg,Démontable en 3 parties . En P.V.C
14,Nez Humain,Anatomie humaine,AN012-1,tous,4.500.00 Dzd,/media/produit/images/AN_012-1_copy.jpg,- En P.V.C - Sur socle en plastique
15,Appareil digestif sur planche en relief(650x265x65 mm),Anatomie humaine,AN013-1,tous,3.200.00 Dzd,/media/produit/images/AN_013-1_copy.jpg,
16,Coeur Humain,Anatomie humaine,AN014-1,tous,10.000.00 Dzd,/media/produit/images/AN_014-1_copy.jpg,Coeur Humain en P.V.C incassable Démontable
17,Série de Trois Dents,Anatomie humaine,AN015-1,tous,5.200.00 Dzd,/media/produit/images/AN_015-1_copy.jpg,En P.V.C incassable
18,Germination d'une graine de dicotylédonie (petit pois),Anatomie humaine,AN017-1,tous,5.000.00 Dzd,/media/produit/images/d6cb45715836d93269c1053ea875471f.jpg,
19,Division cellulaire végétale par mitose(55x107cm),Modèles en géologie,AN020-1,Secondaire,9.000.00 Dzd,/media/produit/images/AN_020-1_copy.jpg,
20,Division cellulaire végétale par mitose(73x50cm),Modèles en géologie,AN020-2,Secondaire,8.500.00 Dzd,/media/produit/images/AN_020-1_copy_DZMn4ZD.jpg,
21,Coupe longitudinale de l’intestin grêle( villosité intestinale),Anatomie végétale,AN021,cem,0.00 Dzd,/media/produit/images/AN_021_copy.jpg,
22,Les Phases de développement de l’embryon,Anatomie humaine,AN022,Secondaire,3.500.00 Dzd,/media/produit/images/AN_022_copy.jpg,
23,caryotype d’une cellule humaine mâle,Anatomie humaine,AN024,Secondaire,10.000.00 Dzd,/media/produit/images/AN_024_copy.jpg,
24,Appareil génital féminin et développement de l’embryon,Anatomie humaine,AN025,Secondaire,9.400.00 Dzd,/media/produit/images/AN_025_copy.jpg,
25,Développement de la dentition permanente,Anatomie humaine,AN026,tous,4.500.00 Dzd,/media/produit/images/AN_026_copy.jpg,
26,Division cellulaire végétale par mitose,Anatomie végétale,AN029,tous,7.500.00 Dzd,/media/produit/images/AN_029_copy.jpg,
27,Division cellulaire animale par méiose,Anatomie animale,AN030,tous,7.000.00 Dzd,/media/produit/images/AN_030_copy.jpg,
28,Division cellulaire animale par mitose,Anatomie animale,AN031,tous,6.500.00 Dzd,/media/produit/images/AN_031_copy.jpg,
29,Acide ribonucléique (ARN),Anatomie humaine,AN032,Secondaire,6.000.00 Dzd,/media/produit/images/AN_032_copy.jpg,
30,Coupe d’un testicule humain,Anatomie humaine,AN033,tous les niveaux,7.000.00 Dzd,/media/produit/images/AN_033_copy.jpg,
31,Modèle d’un virus du SIDA,Anatomie humaine,AN034,tous les niveaux,7.000.00 Dzd,/media/produit/images/AN_034_copy.jpg,
32,Frottis sanguin,Anatomie humaine,AN036,cem,10.000.00 Dzd,/media/produit/images/AN_036_copy.jpg,
33,Les phases de développement embryonnaire du poulet,Anatomie animale,AN037,cem,4.500.00 Dzd,/media/produit/images/AN_037_copy.jpg,
34,Structure d’un motoneurone,Anatomie humaine,AN038,tous,5.000.00 Dzd,/media/produit/images/AN_038_copy.jpg,
35,Modèle d’un motoneurone en contact avec une fibre musculaire,Anatomie humaine,AN039,Secondaire,6.000.00 Dzd,/media/produit/images/AN_039_copy.jpg,
36,Segment de la moelle épinière,Anatomie humaine,AN040,Secondaire,6.000.00 Dzd,/media/produit/images/AN_040_copy.jpg,
37,Plis et Failles (planche en relief),Modèles en géologie,AN042,tous,9.000.00 Dzd,/media/produit/images/AN_042_copy.jpg,
